Base ID,Base,,Item,Quantity,Type,Have,Notes
10,First Aid Carry + Fracture,"Upon arrival, scouts are told that the P8 has fractured their leg and can no longer walk. They must treat the injury and then transport the scout - by means of a carry - to a location determined by the staff",Splints,2,Scout,FALSE,
10,First Aid Carry + Fracture,"Upon arrival, scouts are told that the P8 has fractured their leg and can no longer walk. They must treat the injury and then transport the scout - by means of a carry - to a location determined by the staff",Large box of lego,1,Staff,FALSE,Should probably be sorted into colours?
13,Fire Starting,"Using flint and steel, scouts must start a fire. No time limit is given, but the actual starting of the fire must be witnessed by a judge.",Flint and Steel,1,Scout,FALSE,
13,Fire Starting,"Using flint and steel, scouts must start a fire. No time limit is given, but the actual starting of the fire must be witnessed by a judge.",Fire Drums,6,Staff,FALSE,
13,Fire Starting,"Using flint and steel, scouts must start a fire. No time limit is given, but the actual starting of the fire must be witnessed by a judge.",Fire Beaters,4,Staff,FALSE,
13,Fire Starting,"Using flint and steel, scouts must start a fire. No time limit is given, but the actual starting of the fire must be witnessed by a judge.",Fire Extinguisher,1,Staff,FALSE,
14,Pellet Guns,Targets are set up with classical point scoring. Each scout gets 5 bullets. The highest shot is taken as their final point value.,First Aid Kit,1,Staff,FALSE,
14,Pellet Guns,Targets are set up with classical point scoring. Each scout gets 5 bullets. The highest shot is taken as their final point value.,Warning Flags,4,Staff,FALSE,
14,Pellet Guns,Targets are set up with classical point scoring. Each scout gets 5 bullets. The highest shot is taken as their final point value.,Pellet Guns,6,Staff,FALSE,
14,Pellet Guns,Targets are set up with classical point scoring. Each scout gets 5 bullets. The highest shot is taken as their final point value.,Pellets,500,Staff,FALSE,
14,Pellet Guns,Targets are set up with classical point scoring. Each scout gets 5 bullets. The highest shot is taken as their final point value.,Table,3,Staff,FALSE,
14,Pellet Guns,Targets are set up with classical point scoring. Each scout gets 5 bullets. The highest shot is taken as their final point value.,"Rope, 10m",2,Staff,FALSE,
14,Pellet Guns,Targets are set up with classical point scoring. Each scout gets 5 bullets. The highest shot is taken as their final point value.,Measuring tape ,1,Staff,FALSE,
16,First Aid - Wounds,"The P5 is injured and has a variety of wound types, including grazing on the palm of their hand, venal bleeding on their wrist and arterial bleeding from their upper arm. P6 must treat these types of bleeding.",First Aid Kit,1,Scout,FALSE,
17,Scout Promise,Scouts are given a sheet with words of the promise left out. They must fill the words in to complete the promise.,Pen,1,Scout,FALSE,
17,Scout Promise,Scouts are given a sheet with words of the promise left out. They must fill the words in to complete the promise.,Notepad,1,Scout,FALSE,
18,Whippings,The scout is given a rope and asked to perform a sailmakers whipping and a simple whipping on each end. ,Whipping Twine Roll,2,Staff,FALSE,
18,Whippings,The scout is given a rope and asked to perform a sailmakers whipping and a simple whipping on each end. ,Rope Scraps,50,Staff,FALSE,
18,Whippings,The scout is given a rope and asked to perform a sailmakers whipping and a simple whipping on each end. ,Scissors,4,Staff,FALSE,
19,Triangulation,,Ruler,1,Scout,FALSE,
19,Triangulation,,Compass,1,Scout,FALSE,
19,Triangulation,,Protractor,1,Scout,FALSE,
19,Triangulation,,Pencil,1,Scout,FALSE,
19,Triangulation,,Eraser,1,Scout,FALSE,
19,Triangulation,,Clipboard,1,Scout,FALSE,
19,Triangulation,,Table,4,Staff,FALSE,
20,STA 2: Dinner Invitation,Handin on of th second STA,Table,2,Staff,FALSE,
21,Dinner,Standard dinner marking,Mess Kit,1,Staff,FALSE,
22,Semaphor Flags,"Scouts are placed at a distance from each other. The patrol is split into two. Half the patrol is responsible for sending a message to the other half, using Semaphore flags. The message to be transmitted is""LIGHTS, CAMERA, GORDONS""",Pen,2,Scout,FALSE,
22,Semaphor Flags,"Scouts are placed at a distance from each other. The patrol is split into two. Half the patrol is responsible for sending a message to the other half, using Semaphore flags. The message to be transmitted is""LIGHTS, CAMERA, GORDONS""",Notepad,2,Scout,FALSE,
22,Semaphor Flags,"Scouts are placed at a distance from each other. The patrol is split into two. Half the patrol is responsible for sending a message to the other half, using Semaphore flags. The message to be transmitted is""LIGHTS, CAMERA, GORDONS""",Clipboard,2,Scout,FALSE,
22,Semaphor Flags,"Scouts are placed at a distance from each other. The patrol is split into two. Half the patrol is responsible for sending a message to the other half, using Semaphore flags. The message to be transmitted is""LIGHTS, CAMERA, GORDONS""",Sempaphor Flags,20,Staff,FALSE,
23,Jump the Fence,A fence is set up to be roughly 1.7m in height. The patrol must build a structure that will allow for the entirety of their members to pass over the fence without touching it. Scouts may not pass back to the other side of the fence once they have passed over.,"Staves, 2m",12,Staff,FALSE,
23,Jump the Fence,A fence is set up to be roughly 1.7m in height. The patrol must build a structure that will allow for the entirety of their members to pass over the fence without touching it. Scouts may not pass back to the other side of the fence once they have passed over.,"Rope, 5m",6,Staff,FALSE,
23,Jump the Fence,A fence is set up to be roughly 1.7m in height. The patrol must build a structure that will allow for the entirety of their members to pass over the fence without touching it. Scouts may not pass back to the other side of the fence once they have passed over.,"Rope, 3m",25,Staff,FALSE,
23,Jump the Fence,A fence is set up to be roughly 1.7m in height. The patrol must build a structure that will allow for the entirety of their members to pass over the fence without touching it. Scouts may not pass back to the other side of the fence once they have passed over.,Pegs,25,Staff,FALSE,
23,Jump the Fence,A fence is set up to be roughly 1.7m in height. The patrol must build a structure that will allow for the entirety of their members to pass over the fence without touching it. Scouts may not pass back to the other side of the fence once they have passed over.,Mallets,2,Staff,FALSE,
24,Orienteering (night base),"An orienteering course is set up around the hawequas farm. Scouts go from point to point, at each point collecting a number. At the end, they need to relay the numbers to the judge in correct order.",Pen,1,Scout,FALSE,
24,Orienteering (night base),"An orienteering course is set up around the hawequas farm. Scouts go from point to point, at each point collecting a number. At the end, they need to relay the numbers to the judge in correct order.",Notepad,1,Scout,FALSE,
24,Orienteering (night base),"An orienteering course is set up around the hawequas farm. Scouts go from point to point, at each point collecting a number. At the end, they need to relay the numbers to the judge in correct order.",Clipboard,1,Scout,FALSE,
24,Orienteering (night base),"An orienteering course is set up around the hawequas farm. Scouts go from point to point, at each point collecting a number. At the end, they need to relay the numbers to the judge in correct order.",Compass,1,Scout,FALSE,
25,ESM (Water drowning),"One scout in the patrol is placed in the dam and is the ""drowning victim"". Scouts must demonstrate the correct method of retrieving their patrol member. They must demonstrate ""reach, throw, row, go"" after which on patrol member must get in and correctly rescue the drowned member. The patrol must then treat BOTH the victim and the rescuer. The former must be treated for drowning and the latter must be treated for hypothermia.",Rope,8,Scout,FALSE,
25,ESM (Water drowning),"One scout in the patrol is placed in the dam and is the ""drowning victim"". Scouts must demonstrate the correct method of retrieving their patrol member. They must demonstrate ""reach, throw, row, go"" after which on patrol member must get in and correctly rescue the drowned member. The patrol must then treat BOTH the victim and the rescuer. The former must be treated for drowning and the latter must be treated for hypothermia.",First Aid Kit,1,Scout,FALSE,
25,ESM (Water drowning),"One scout in the patrol is placed in the dam and is the ""drowning victim"". Scouts must demonstrate the correct method of retrieving their patrol member. They must demonstrate ""reach, throw, row, go"" after which on patrol member must get in and correctly rescue the drowned member. The patrol must then treat BOTH the victim and the rescuer. The former must be treated for drowning and the latter must be treated for hypothermia.",Towel,2,Scout,FALSE,
25,ESM (Water drowning),"One scout in the patrol is placed in the dam and is the ""drowning victim"". Scouts must demonstrate the correct method of retrieving their patrol member. They must demonstrate ""reach, throw, row, go"" after which on patrol member must get in and correctly rescue the drowned member. The patrol must then treat BOTH the victim and the rescuer. The former must be treated for drowning and the latter must be treated for hypothermia.",Swimming costume,2,Scout,FALSE,
25,ESM (Water drowning),"One scout in the patrol is placed in the dam and is the ""drowning victim"". Scouts must demonstrate the correct method of retrieving their patrol member. They must demonstrate ""reach, throw, row, go"" after which on patrol member must get in and correctly rescue the drowned member. The patrol must then treat BOTH the victim and the rescuer. The former must be treated for drowning and the latter must be treated for hypothermia.",Blankets,4,Staff,FALSE,
26,STA 1: Code,Handin of the first STA,Table,2,Staff,FALSE,
26,STA 1: Code,Handin of the first STA,Chairs,6,Staff,FALSE,
27,STA 3: Script,Handin of the third STA,Table,2,Staff,FALSE,
27,STA 3: Script,Handin of the third STA,Chairs,6,Staff,FALSE,
32,Burns,One of the patrol member has sustained third degree burns. The other scout must demonstrated how to care for this injury,First Aid Kit,1,Scout,FALSE,
33,First Aid - Sucking Chest Wound,P7 has sustained a sucking chest wound. The P2 must treat this injury. ,First Aid Kit,1,Scout,FALSE,
34,Acting script,The patrol must act out the script that they have submitted the previous night.,Written Script,1,Scout,FALSE,
34,Acting script,The patrol must act out the script that they have submitted the previous night.,Props,1,Scout,FALSE,
35,STA 7: Trivia,Handin of STA 7,Table,2,Staff,FALSE,
35,STA 7: Trivia,Handin of STA 7,Chairs,6,Staff,FALSE,
36,Six Basic Knots,"The patrol member must tie all six basic knots, and explain what each knot is being used for.","Rope, 4m",1,Scout,FALSE,
37,Advanced Knots,"The patrol member is asked to tie 5 advanced knots: The carrick bend, the hunters bend, the scaffold hitch, barrel hitch and the guyline hitch. They are asked what the function of each knot is","Rope, 4m",1,Scout,FALSE,
37,Advanced Knots,"The patrol member is asked to tie 5 advanced knots: The carrick bend, the hunters bend, the scaffold hitch, barrel hitch and the guyline hitch. They are asked what the function of each knot is","Stave, 1.5m",1,Scout,FALSE,
37,Advanced Knots,"The patrol member is asked to tie 5 advanced knots: The carrick bend, the hunters bend, the scaffold hitch, barrel hitch and the guyline hitch. They are asked what the function of each knot is",Cylindrical Object,5,Staff,FALSE,
37,Advanced Knots,"The patrol member is asked to tie 5 advanced knots: The carrick bend, the hunters bend, the scaffold hitch, barrel hitch and the guyline hitch. They are asked what the function of each knot is",Bench,5,Staff,FALSE,
38,STA 6: Clapper,Handin of STA 6,Table,2,Staff,FALSE,
38,STA 6: Clapper,Handin of STA 6,Chairs,6,Staff,FALSE,
47,STA 8: Academy Award,Handin of STA 8,Table,2,Staff,FALSE,
47,STA 8: Academy Award,Handin of STA 8,Chairs,6,Staff,FALSE,
48,STA 4: Pinhole,Handin of STA 4,Table,2,Staff,FALSE,
48,STA 4: Pinhole,Handin of STA 4,Chairs,6,Staff,FALSE,
2,Registration,"Standard registration for teams. Scouts must present their team list, the lanyards they have pre-made and all the consent forms. ",Document Tray,3,Staff,FALSE,
9,Ground to Air Signals,A set of ground to air signals are set out on the ground. The scouts must describe what the symbols mean. They must then draw two separate symbols that the staff ask them to draw.,Notepad,1,Scout,FALSE,
9,Ground to Air Signals,A set of ground to air signals are set out on the ground. The scouts must describe what the symbols mean. They must then draw two separate symbols that the staff ask them to draw.,Pen,1,Scout,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
#N/A,,#N/A,,,,FALSE,
